Push,Pull,Legs
Bench Press,Deadlift,Squats
Dumbell Press,Lat Pulldown,Hack Squat
Decline Bench Press,Neutral grip Lat PullDown,Leg Press
Incline Dumbell Press,Seated Cabel row,Incline Leg Press
Dumbell Shoulder Press,Seated Face pull,Bulgarian Split Squad
Arnold Shoulder,Machine Rear delts,Barbell Hip Thrust
Lateral Dumbell Raises ,Cable Y raises,Hip Adduction
Machine Pec dec,Hammer Curl,Hip Abduction
Cable Pec dec,Preacher Curl ,Legs Extensions
Tricep cable pushdown,Single Preacher Curl,Single Leg Extension
Single tricep cable pushdown,Dumbell Curl ,Standing Calf Raise
OverHead Cable Tricep,Incline Dumbell Curl,Prone single Leg Curl
Cable Bar pushdown,Barbell Wall lift,Russian DeadLift
,,Prone Leg Curl